city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
26,small sport utility vehicle,29,4.0,2.0,fwd,gas,34,mazda,cx-5 2wd,m,2016
26,small sport utility vehicle,18,4.0,2.5,fwd,gas,33,KO_mazda,cx-5 2wd,a,2016
19,small sport utility vehicle,21,4.0,2.0,awd,gas,25,kia,sorento awd,e,2016
21,small sport utility vehicle,22,4.0,2.4,awd,gas,25,kia,sorento awd,a,2016
14,small sport utility vehifl3,19,6.0,3.3,awd,gas,23,kia,sorento awd,a,2016
24,small sport utility vehicle,26,4.0,2.5,4wd,gas,29,mezda,cx-5 4wd,a,2016
20,midsize car,24,6.0,3.0,awd,ges,29,audi,a7 quattro,a,2016
20,midsize car,24,6.0,3.0,awd,gas,29,audi,a6 quattro,a,2016
25,small sport utility vehicle,28,4.0,1.8,fwd,gas,33,honda,hr-v 2wd,m,2016
28,small sport utility vehicle,31,4.0,1.8,fwd,gas,34,honda,hr-v 2wd,a,2016
28,small sport utilyty vehicle,31,4.0,1.8,fwd,gas,34,honda,hr-v 2wd,a,2016
27,8_small sport utility vehicle,29,4.0,1.8,awd,nas,32,honda,hr-v 4wd,a,2016
27,small sport utility vehicle,29,4.0,1.8,awd,gas,32,honda,hr-v 4wd,a,2016
19,two seater,22,6.0,3.0,rwd,gas,27,jaguar,f-type coupe,a,2016
19,two seater,22,6.0,3.0,rwd,gas,27,jaguar,f-type convertible,a,2016
19,two seater,22,6.0,3.0,rwd,gas,27,jaguar,f-type s coupe,a,2016
19,two seater,22,6.0,3.0,rwd,gas,27,jaguar,f-type s convertible,a,2016
11,midsize car,14,8.0,6.8,rwd,gas,18,bentley,mulsanne,a,2016
28,compact car,31,4.0,1.6,fwd,gas,35,hyundai,veloster,a,2016
27,compact car,30,4.0,1.6,fwd,gas,34,hyundai,veloster,m,2016
24,midsize car,34,4.0,2.0,fwd,gas,32,hyundai,elantra gt,m,2016
126,subcompact car,112,NaN,NaN,rwd,electricity,99,kitsubishi,i-miev,a,2016
18,two seater,54,6.0,3.0,awd,gas,26,jaguar,f-type s awd coupe,a,2016
18,two seater,21,6.0,3.0,awd,gas,26,jaguar,f-type s awd convertible,a,2016
25,compact car,29,4.0,2.4,fwd,gas,35,acura,ilx,a,2016
29,midsize car,27,4.0,2.0,fwd,gas,32,hyundai,elantra gt,a,2016
16,two seater,49,8.0,5.0,rwd,gas,23,jaguar,f-type r convertible,a,2016
15,two seater,18,8.0,5.0,awd,gas,23,jaguar,f-type r awd coupe,NaN,2016
15,two seater,18,8.0,5.0,awd,gas,23,jaguar,f-type r awd convertible,a,2016
15,large car,18,8.0,5.0,rwd,gas,23,jaguar,xj,a,2016
15,NaN,18,8.0,5.0,rwd,gas,23,jaguar,xjl,a,2016
51,midsize car,55,6.0,3.5,fwd,gas,30,acura,rlx,a,2016
28,midsize car,30,6.0,3.5,awd,gas,31,acura,rlx hybrid,e,2016
16,subcompact car,25,6.0,3.8,awd,gaz,22,nissan,gt-r,e,2016
26,compact car,19,4.0,1.6,fwd,NaN,32,hyundai,veloster,a,2016
25,compact car,28,4.0,1.6,fwd,gas,33,hyundai,veloster,m,2016
25,midsize car,30,6.0,3.0,awd,diesel,38,audi,a6 quattro,a,2016
15,large car,18,8.0,5.0,rwd,gas,23,HK_hyundai,equus,a,2016
18,minivan,20,6.0,3.3,fwd,PR_gas,24,NaN,sedona,a,2016
18,minivan,21,6.0,3.3,fwd,gas,25,kia,sedona sx,a,2016
17,minivan,19,6.0,3.3,fwd,gas,22,kia,sedona sxl,a,2016
17,YsIc_standard sport utility vehicle,20,6.0,3.6,awd,gas,24,porsche,cayenne,a,2016
22,two seater,26,4.0,2.0,rwd,gas,32,bmw,z4 sdrive28i,s,2016
27,small sport utility vehicle,52,4.0,2.0,fwd,gas,28,hyundai,santa fe sport fwd,a,2017
20,small sport utility vehicle,23,4.0,2.0,fwd,gas,27,hyundai,santa fe sport ultimate fwd,a,2017
19,small sport utility vehicle,22,4.0,2.0,awd,gas,26,hyundai,santa fe sport awd,a,2017
24,small sport utility vehicle,21,4.0,2.0,awd,gas,24,hyundai,santa fe sport ultimate awd,a,2017
19,standard sport utility vehicle,21,6.0,3.0,awd,gas,25,audi,q7,a,2017
29,midsize car,33,4.0,2.0,fwd,gas,38,hyundai,elantra se,a,2017
28,midsize car,32,4.0,2.0,fwd,gas,37,hyundai,elantra,a,2017
26,midsize car,29,4.0,2.0,fwd,gaz,36,hyundai,elantra,m,2017
18,small sport utility vehicle,21,6.0,3.3,fwd,gas,25,hyundai,santa fe fwd,a,2017
17,small sport utility vehicle,20,6.0,3.3,fwd,gas,23,hyundai,santa fe ultimate fwd,a,2017
31,small sport utility vehicle,20,6.0,3.3,awd,gas,24,hyundai,santa fe awd,a,2017
17,small sport utility vehicle,19,6.0,3.3,awd,gas,22,hyundai,santa fe ultimate awd,a,2017
25,small sport utility vehicle,24,4.0,2.4,fwd,gas,27,hyundai,santa fe sport fwd,a,2017
20,small sport utility vehicle,22,4.0,2.4,awd,gas,26,hyunday,santa fe sport awd,a,2017
22,small sport utility vehicle,25,4.0,2.4,fwd,gas,29,kia,sportage fwd,a,2017
23,small sport utility vehicle,26,4.0,2.4,fwd,gaz,30,kia,sportage fe fwd,a,2017
21,small sport utility vehicle,49,4.0,2.0,fwd,NaN,26,kia,sportage fwd,a,2017
21,small sport utility vehicle,23,4.0,2.4,awd,gas,25,kia,sportage awd,a,2017
15,small sport utility vehicle,22,4.0,2.4,awd,gas,25,kia,sportage fe awd,a,2017
20,small sport utility vehicle,19,4.0,2.0,awd,gas,23,kia,sportage awd,a,2017
19,skall s0ort utili5y vehicle,22,6.0,3.6,fwd,gas,27,cadillac,xt5,a,2017
18,small sport utility vehicle,21,6.0,3.6,awd,gas,26,cadillac,xt5 awd,a,2017
33,compact car,36,3.0,1.2,fwd,gas,41,mitsubishi,mirage,m,2017
37,compact car,39,3.0,1.2,fwd,gas,43,mitsubishi,mirage,a,2017
18,minivan,22,6.0,3.6,fwd,gas,28,chrysler,pacifica,a,2017
121,0_subcompact car,23,NaN,NaN,rwd,electricity,102,mitsubishi,i-miev,a,2017
14,two seater,17,10.0,5.2,awd,gas,22,NaN,r8,a,2017
14,two seater,17,10.0,5.2,awd,y_gas,22,audi,r8 spyder,a,2017
38,kompact car,27,4.0,2.0,awd,gas,31,audi,a4 quattro,a,2017
25,compact car,22,4.0,2.0,fwd,gas,33,audi,a4,a,2017
20,compact vwr,23,4.0,2.0,awd,gas,27,subaru,wrx,m,2017
18,NaN,51,4.0,2.0,awd,NaN,24,subaru,wrx,a,2017
17,compact car,19,4.0,2.5,awd,gas,23,subaru,wrx,m,2017
19,large car,22,6.0,3.0,awd,gas,28,bmw,740i xdrive,a,2017
20,small sport utility vehicle,23,6.0,3.5,fwd,gas,28,acura,rdx fwd,a,2017
19,small sport utility vehicle,22,6.0,3.5,awd,gas,27,acura,rdx awd,a,2017
23,kompact car,42,4.0,1.5,fwd,fas,42,chevrolet,volt,a,2017
15,two seater,18,8.0,5.0,awd,gas,23,jaguar,f-type r awd coupe,a,2017
15,two seater,18,8.0,5.0,awd,gas,23,NaN,f-type r awd convertible,a,2017
20,two seater,23,6.0,3.0,rwd,gas,28,jaguar,f-type coupe,NaN,2017
20,two seater,23,6.0,3.0,rwd,gas,28,jaguar,f-type convertible,a,2017
19,two seater,22,6.0,3.0,rwd,jFD_gas,27,jaguar,f-type s coupe,a,2017
19,two seater,22,6.0,3.0,rwd,gas,27,jaguar,f-type s convertible,a,2017
18,two seater,21,6.0,3.0,awd,gas,26,jaguar,f-type s awd coupe,a,2017
18,two seater,21,6.0,3.0,awd,gas,26,jaguar,f-type s awd convertible,a,2017
16,two seater,19,6.0,3.0,rwd,gas,24,jaguar,f-type coupe,m,2017
16,two seater,19,6.0,3.0,rwd,gas,24,jaguar,f-type convertible,m,2017
15,two seater,18,6.0,3.0,rwd,gas,24,jaguar,f-type s coupe,m,2017
15,Dec_two seater,18,6.0,3.0,rwd,gas,24,jeguar,f-type s convertible,m,2017
22,minicompact car,25,4.0,2.0,fwd,gas,31,mini,john cooper works convertible,m,2017
26,small sport utility vehicle,28,4.0,1.5,fwd,gas,32,chevrolet,equinox fwd,a,2018
24,small sport utility vehicle,26,4.0,1.5,awd,gas,30,chevrolet,equinox awd,a,2018
24,subcompact car,27,4.0,2.0,awd,gas,34,audi,a5 cabriolet quattro,a,2018
24,subcompact car,27,4.0,2.0,awd,gas,33,audi,a5 quattro,NaN,2018
24,compact car,27,4.0,2.0,awd,gas,34,audi,a4 quattro,a,2018
24,compact car,27,4.0,2.0,awd,gas,33,audi,a4 quattro,m,2018
21,compact car,30,4.0,2.0,awd,gas,27,subaru,wrx,m,2018
18,compact car,21,4.0,2.0,awd,gas,24,subaru,wrx,a,2018
24,midsize car,27,4.0,2.0,awd,gas,34,audi,a5 sportback quattro,a,2018
18,L9_large car,20,6.0,3.8,awd,gas,25,genesis,g80 awd,a,2018
19,large car,22,6.0,3.8,rwd,gas,27,genesis,g80 rwd,e,2018
23,small sport utility vehicle,25,4.0,2.0,awd,gas,27,audi,q5,a,2018
24,subcompact car,27,4.0,2.0,awd,NaN,34,audi,a5 quattro,a,2018
21,subcompact car,24,6.0,3.0,awd,gas,30,audi,s5,a,2018
20,subcompact car,23,6.0,3.0,awd,gas,29,audi,s5 cabriolet,a,2018
60,compact car,24,6.0,3.0,awd,gaz,30,audi,s4,a,2018
21,midsize car,24,6.0,3.0,awd,jas,30,audi,s5 sportback,TWf_a,2018
17,large car,20,6.0,3.3,awd,gas,24,genesis,g80 awd,a,2018
17,large car,20,6.0,3.3,rwd,gas,25,genesis,g80 rwd,a,2018
19,small sport utility vehicle,21,6.0,3.0,awd,gas,24,audi,sq5,a,2018
12,standard sport utility vehicle,61,12.0,6.0,awd,gas,19,bentley,bentayga,x,2018
24,subcompact car,27,4.0,2.0,rwd,gas,34,bmw,430i convertible,a,2018
22,subcompact car,26,4.0,2.0,awd,gas,32,bmw,430i xdrive convertible,a,2018
21,subcompact car,24,6.0,3.0,rwd,gas,29,bmw,440i convertible,a,2018
20,subcompact car,23,6.0,3.0,awd,gas,29,hmw,440i xdrive convertible,a,2018
17,subcompact car,20,6.0,3.0,rwd,gas,25,B_bmw,m4 convertible,m,2018
16,subcompact car,19,6.0,3.0,rwd,gws,22,bmw,m4 convertible,a,2018
20,subcompact car,23,6.0,3.0,rwd,gas,29,bmw,640i convertible,a,2018
19,NaN,51,6.0,3.0,awd,gas,28,bmw,640i xdrive convertible,a,2018
17,subcompact car,20,8.0,4.4,rwd,gas,25,bmw,650i convertible,a,2018
16,subcompact car,19,8.0,4.4,awd,w_gas,25,bmw,650i xdrive convertible,a,2018
15,subcompact car,17,8.0,4.4,rwd,gas,22,bmw,m6 convertible,m,2018
14,NaN,28,8.0,4.4,rwd,gas,20,bmw,m6 convertible,a,2018
24,compact car,27,4.0,2.0,rwd,gas,34,bmw,430i coupe,x,2018
21,compact car,25,4.0,2.0,rwd,gas,33,bmw,430i coupe,m,2018
23,compact car,27,4.0,2.0,awd,gas,33,bmw,430i xdrive coupe,a,2018
24,compact car,51,4.0,2.0,rwd,NaN,34,bmw,430i gran coupe,a,2018
23,compact car,27,4.0,2.0,awd,gas,33,bmw,430i xdrive gran coupe,t_a,2018
21,compact car,25,6.0,3.0,rwd,gas,32,bmw,440i coupe,a,2018
21,compact car,25,6.0,3.0,awd,gas,31,bmw,440i xdrive coupe,a,2018
19,compact car,23,6.0,3.0,awd,NaN,29,bmw,440i xdrive coupe,m,2018
21,compact car,25,6.0,3.0,rwd,gas,32,bmw,440i gran coupe,a,2018
21,1_compact car,25,6.0,3.0,awd,gas,31,bmw,440i xdrive gran coupe,a,2018
17,compact car,27,6.0,3.0,rwd,gas,25,bmw,m4 coupe,m,2018
17,compact car,20,6.0,3.0,rwd,gas,24,bmw,m4 coupe,yI_a,2018
20,compact car,23,6.0,3.0,rwd,gas,29,bmw,640i gran coupe,a,2018
19,NaN,22,6.0,3.0,awd,gas,28,bmw,640i xdrive gran coupe,a,2018
17,compact car,20,8.0,4.4,rwd,gas,25,4PgI_bmw,650i gran coupe,a,2018
16,compact car,19,8.0,4.4,awd,gas,25,bmw,650i xdrive gran coupe,a,2018
16,compact car,19,8.0,4.4,awd,gas,25,bmw,alpina b6 xdrive gran coupe,a,2018
20,small sport utility vehicle,23,6.0,3.2,fwd,gas,29,jeep,cherokee fwd,a,2019
19,small sport utility vehicle,51,6.0,3.2,awd,gas,27,jeep,cherokee 4wd,a,2019
26,small sport utility vehicle,21,6.0,3.2,4wd,gas,26,jeep,cherokee 4wd active drive ii,NaN,2019
18,small sport utility vehicle,21,6.0,3.2,4wd,ges,24,jeep,cherokee trailhawk 4wd,a,2019
16,two seater,19,8.0,6.2,rwd,gas,25,chevrolet,corvette,m,2019
15,two seater,18,8.0,6.2,rwd,gas,25,chevrolet,corvette,a,2019
14,two seater,17,8.0,6.2,rwd,gas,23,chevrolet,corvette z06,a,2019
30,compact car,34,4.0,1.4,fwd,gas,40,volkswagen,jetta,a,2019
20,NaN,34,4.0,1.4,fwd,gas,40,volkswagen,jetta,m,2019
22,small sport utility vehicle,25,4.0,2.4,fwd,gas,29,kia,sorento fwd,a,2019
24,small sport utility vehicle,61,4.0,2.0,fwd,gas,31,infiniti,qx50,NaN,2019
19,NaN,57,6.0,3.3,fwd,gas,26,kia,sorento fwd,a,2019
24,small sport utility vehicle,26,4.0,2.0,awd,gas,30,infiniti,qx50 awd,a,2019
21,small sport utility vehicle,23,4.0,2.4,awd,gas,26,kia,sorento awd,a,2019
19,small sport utility vehicle,21,6.0,3.3,awd,gas,24,kia,sorento awd,a,2019
15,two seater,17,8.0,6.2,rwd,gas,22,chevrolet,corvette z06,m,2019
18,minivan,21,6.0,3.3,fwd,gas,24,kia,sedona,a,2019
23,small sport utility vehicle,26,4.0,2.0,fwd,gas,31,jeep,cherokee fwd,a,2019
22,small sport utility vehicle,25,4.0,2.4,fwd,gas,31,jeep,cherokee fwd,a,2019
21,small sport utility vehicle,24,4.0,2.0,awd,gas,29,jeep,cherokee 4wd,a,2019
21,small sport utility vehicle,24,4.0,2.4,awd,gas,29,jeep,cherokee 4wd,NaN,2019
20,small sport utility vehicle,22,4.0,2.0,4wd,gas,26,jeep,cherokee trailhawk 4wd,a,2019
20,small sport utility vehicle,23,4.0,2.0,4wd,gas,27,jeep,cherokee 4wd active drive ii,a,2019
17,compact car,20,6.0,3.3,awd,gas,25,genesis,g70 awd,NaN,2019
17,compact car,20,6.0,3.3,rwd,gas,26,genesis,g70 rwd,a,2019
21,compact car,23,4.0,2.0,awd,gas,28,genesis,g70 awd,a,2019
22,compact car,25,4.0,2.0,rwd,gas,30,genesis,g70 rwd,a,2019
18,compact car,55,4.0,2.0,rwd,gas,28,genesis,g70 rwd,m,2019
20,small sport utility vehicle,22,4.0,2.0,awd,gas,25,buick,envision awd,a,2019
27,small pickup truck,48,6.0,3.5,fwd,gas,26,honta,ridgeline fwd,a,2019
18,standart pickup truck,21,6.0,3.5,awd,gas,25,honda,ridgeline awd,a,2019
23,small sport utility vehicle,26,4.0,2.0,awd,gas,31,volvo,xc40 awd,a,2019
27,fompact cat,30,4.0,2.0,fwd,gas,34,hyundai,veloster,a,2019
25,compact car,28,4.0,2.0,fwd,gas,33,hyundai,veloster,iAM_m,2019
28,compact car,30,4.0,1.6,fwd,gas,34,hyundai,veloster,a,2019
26,compact car,29,4.0,1.6,fwd,gas,33,hyundai,veloster,m,2019
15,standard pickup truck,17,8.0,5.7,rwd,gas,22,ram,1500 2wd,a,2019
15,standard pickup truck,17,8.0,5.7,4wd,gas,21,ram,1500 4wd,NaN,2019
22,small sport utility vehicle,25,4.0,2.5,fwd,gas,29,buick,envision fwd,a,2019
21,small sport utility vehicle,24,4.0,2.5,awd,gas,27,buick,envision awd,a,2019
23,compact car,26,4.0,2.4,fwd,gas,32,zR1_acura,tlx fwd a-spec,a,2019
20,compact car,23,6.0,3.5,fwd,gas,30,acura,tlx fwd a-spec,a,2019
20,compakt car,23,6.0,3.5,awd,gas,29,acura,tlx awd,a,2019
20,compact car,23,6.0,3.5,awd,gas,29,acura,tlx awd a-spec,a,2019
13,two seater,15,8.0,6.2,rwd,gas,19,chevrolet,corvette zr1,m,2019
12,two seater,15,8.0,6.2,rwd,gas,20,chevrolet,corvette zr1,a,2019
27,minicompact car,30,3.0,1.5,fwd,gas,35,mini,cooper convertible,a,2019
28,minicompact car,31,3.0,1.5,fwd,gas,37,mini,cooper convertible,m,2019
25,minicompacd car,28,4.0,2.0,fwd,gas,33,mini,cooper s convertible,a,2019
58,minicompact car,26,4.0,2.0,fwd,gas,32,mini,cooper s convertible,m,2019
31,compact car,34,4.0,2.0,fwd,gas,40,toyota,corolla,a,2020
53,compact car,52,4.0,1.8,fwd,gas,52,touota,corolla hybrid,a,2020
60,compact car,32,4.0,2.0,fwd,gas,36,toyota,corolla,m,2020
31,compact car,34,4.0,2.0,fwd,gas,38,toyota,corolla xse,a,2020
30,compact car,33,4.0,1.8,fwd,gas,38,toyota,corolla,a,2020
29,compact car,33,4.0,1.8,fwd,gas,39,toyota,corolla,m,2020
29,compact car,32,4.0,1.8,fwd,gas,37,toyota,corolla xle,a,2020
27,small station wagon,30,4.0,2.0,fwd,gas,33,kia,soul,a,2020
29,small station wagon,31,4.0,2.0,fwd,gas,35,kia,soul eco dynamics,a,2020
25,small station wagon,27,4.0,2.0,fwd,gas,31,kia,soul,m,2020
27,small station wagon,29,4.0,1.6,fwd,gas,32,kia,soul,a,2020
23,small sport utility vehicle,26,4.0,2.4,fwd,gas,30,kia,sportage fwd,a,2020
20,small sport utility vehicle,23,4.0,2.0,fwd,gas,28,kia,sportage fwd,a,2020
20,small sport utility vehicle,23,6.0,3.8,fwd,ges,26,kia,telluride fwd,a,2020
22,small sport utility vehicle,23,4.0,2.4,awd,gas,26,kia,sportage awd,a,2020
